	studio	location	Ratings
0	The Warehouse Dance Studio	荔枝角	4.9
1	舒適堡Physical (上水店)	上水	3.5
2	Pop Up Dance	大埔	4.0
3	"舒適堡Physical (美孚店)
"	美孚	3.7
4	AIR Fitness(北角店)	北角	4.0
5	Step Up Studio(太子分校)	太子	5.0
6	i Dance(美孚店)	美孚	5.0
7	舒適堡Physical (銅鑼灣店)	銅鑼灣	4.8
8	Pure Fitness(中環 工商銀行店)	中環	4.8
9	Dance Kingdom	九龍灣	4.7
10	卡帕中東肚皮舞坊	荔枝角	5.0
11	Hpower Club	尖沙咀	5.0
12	舒適堡Physical (太古店)	太古	4.0
13	舒適堡Physical (樂富店)	樂富	4.2
14	2Live Dance Studio	北角	5.0
15	The Yoga Room	上環	4.3
16	舒適堡Physical (沙田店)	沙田	4.0
17	舒適堡Physical (長沙灣店)	長沙灣	2.8
18	舞蹈@中環	中環	5.0
19	"Fitness First(炮台山店)
"	炮台山	4.3
20	EDF Dance Studio	九龍城	4.7
21	Goji Studios(黃埔店)	紅磡	4.2
22	Showtime dance Studio	元朗	5.0
23	Dance Union	北角	5.0
24	Viva Dance 拉丁舞學院	上環	5.0
25	Studiodanz(九龍舞蹈教室)	新蒲崗	5.0
26	i Dance(鰂魚涌店)	鰂魚涌	4.8
27	Element 2 Square (長沙灣店)	長沙灣	5.0
28	OKAI studio	屯門	5.0
29	舒適堡Physical (九龍灣德福廣場店)	九龍灣	3.6
30	舒適堡Physical (九龍灣德福廣場店)	九龍灣	3.6
31	Timely Dance Studio	觀塘	5.0
32	Oasis Dance Centre	旺角	
33	舒適堡Physical (九龍灣淘大商場店)	牛頭角	4.3
34	Goji Studios(銅鑼灣店)	銅鑼灣	4.4
35	Billy Chan Dance Concepts	葵涌	5.0
36	羅逸雅芭蕾舞爵士舞學校(上水店)	上水	5.0
37	Yannes Belly Dance	荃灣	5.0
38	DanzStage Dance Studio	天后	4.7
39	羅逸雅芭蕾舞爵士舞學校(海怡半島店)	鴨脷洲	5.0
40	HYPE Dance Studio	觀塘	5.0
41	舒適堡Physical (旺角店)	旺角	4.0
42	BLS 香港韓風舞蹈中心	炮台山	5.0
43	ENERGY FITNESS	沙田	3.4
44	Come Dancing Studio Academy	尖沙咀	5.0
45	Christine Liao School of Ballet(沙田校)	沙田	5.0
46	Element 2 Square (新蒲崗店)	新蒲崗	5.0
47	Christine Liao School of Ballet(尖沙咀總校)	尖沙咀	5.0
48	XP Fitness Hub	中環	4.1
49	"Fitness First(灣仔店)
"	灣仔	4.3
50	羅逸雅芭蕾舞爵士舞學校(馬鞍山店)	馬鞍山	5.0
51	4ward Fitness	旺角	2.5
52	MiU Training Hub	灣仔	4.8
53	Fitness First(觀塘店)	觀塘	4.3
54	Sano Dance Studio(太古店)	太古	4.7
55	Friends Junction Dance Company	太子	5.0
56	"Fitness First(尖沙咀 喜來登酒店)
"	尖沙咀	3.7
57	AIR Fitness(黄埔店)	紅磡	5.0
58	SCAA Gym & Fitness Centre	銅鑼灣	4.3
59	Barre Formula	尖沙咀	5.0
60	M48 Wellness Lab	旺角	4.3
61	Fitness First(北角店)	北角	4.4
62	OTROTango Dance Studio	尖沙咀	5.0
63	Fitness First(上環店)	上環	4.4
64	Boogie Dance Studio	元朗	5.0
65	舒適堡Physical (西環店)	堅尼地城	4.2
66	Goji Studios(中環店)	中環	4.3
67	李偉倫舞蹈學院	油麻地	
68	GO24 Fitness(荃灣店)	荃灣	5.0
69	Fitness First(銅鑼灣店)	銅鑼灣	3.9
70	Pure Fitness(中環 加州大廈店)	中環	3.5
71	Life Fitness	黃竹坑	5.0
72	GO24 Fitness(北角店)	北角	5.0
73	TOPFIT	中環	5.0
74	i Dance(尖沙咀店)	尖沙咀	5.0
75	WATERFALL SPORTS & WELLNESS(奧運店)	大角咀	3.6
76	羅逸雅芭蕾舞爵士舞學校(何文田店)	何文田	5.0
77	Watahhh Fitness	灣仔	5.0
78	Goji Studios(尖沙咀店)	尖沙咀	4.6
79	Metro Yoga & Dance	元朗	5.0
80	"Sano Dance Studio(灣仔店)
"	灣仔	4.7
81	Iconic Dance Studio	旺角	4.0
82	Defender Studio	觀塘	4.8
83	CCDC舞蹈中心	九龍城	4.5
84	舒適堡Physical (元朗店)	元朗	4.3
85	Aurora Air Dance Studio HK	荔枝角	5.0
86	"舒適堡Physical (觀塘店)
"	觀塘	3.8
87	i Dance(觀塘店)	觀塘	4.8
88	舒適堡Physical (中環店)	中環	4.0
89	SDS Studio	中環	5.0
90	Neverland Dance House	觀塘	4.0
91	Step Up Studio(上環分校)	上環	5.0
92	Amico Studio	灣仔	5.0
93	WATERFALL SPORTS & WELLNESS(太古店)	鰂魚涌	4.4
94	Pure Fitness(旺角店)	旺角	4.2
95	Goji Studios(灣仔店)	灣仔	4.7
96	舒適堡Physical (將軍澳店)	將軍澳	3.8
97	Goji Studios(九龍灣店)	九龍灣	4.0
98	Step Up Studio(石門分校)	沙田	5.0
99	@Dance	油麻地	5.0
100	Pure Fitness(鰂魚涌店)	鰂魚涌	4.6
101	舒適堡Physical (屯門店)	屯門	4.0
102	Pure Fitness(中環 ifc 商場店)	中環	4.5
103	Elite Fitness	紅磡	4.3
104	Infinity Dance Studio	尖沙咀	5.0
105	Fitness First(中環店)	中環	4.6
106	Studiodanz Hong Kong	太古	5.0
107	舒適堡Physical (大埔店)	大埔	4.0
108	Pure Fitness(中環 金威克中心店)	中環	3.9
109	Becky Belly Dance	灣仔	4.7
110	Goji Studios(旺角店)	旺角	4.4
111	舒適堡Physical (葵芳店)	葵芳	4.3
112	Nexus Dance Studio HK	新蒲崗	5.0
113	舒適堡Physical (尖沙咀店)	尖沙咀	4.0
114	舒適堡Physical (荃灣店)	荃灣	4.4
115	世界舞蹈家演藝總會	尖沙咀	
116	舒適堡Physical (灣仔店)	灣仔	3.7
117	Pure Fitness(銅鑼灣店)	銅鑼灣	4.6
118	"Sano Dance Studio(觀塘店)
"	觀塘	4.7
119	DANCETRINITY	上環	4.5
120	Connie Pang Bellydance and Tahitian Dance	觀塘	
121	思藝舞蹈中心	西營盤	
122	Step Up Studio(觀塘分校)	觀塘	5.0
123	ZEEKERS DANZ PRODUCTION (荃灣館)  	荃灣	
124	EDF Kids	九龍城	
125	Oasis MONGKOK	旺角	
126	Pure Fitness(淺水灣店)	淺水灣	4.0
127	Aurora Air Dance Studio	長沙灣	
128	Fitness U	灣仔	
129	@Dance	油麻地	
130	"羅逸雅芭蕾舞爵士舞學校(黃埔店)
"	紅磡	
131	SODance 專業街舞工作室	旺角	
132	DansinnHeavenly	上環	
133	Step Up Studio(大埔分校)	大埔	
134	Red Shoe Dance Company(黃竹坑店)	黃竹坑	
135	Bedrex	尖沙咀	
136	Anytime Fitness （西營盤）	西營盤	
137	Amaze Productions Studio	荃灣	
138	ZEEKERS DANZ PRODUCTION (灣仔館) 	灣仔	
139	Alive dance hk	銅鑼灣	
140	Funky Dance Centre(佐敦店)	佐敦	1.0
141	Connie Bellydance and Tahitian Dance	觀塘	
142	Twinkle Dance Company(銅鑼灣)	銅鑼灣	
143	Step Up Studio(荃灣分校)	荃灣	
144	格立教室	長沙灣	
145	Fitness First(尖沙咀 海港城店)	尖沙咀	
146	JR Dreamland	佐敦	
147	Funky Dance Centre(灣仔店)	灣仔	1.0
148	Pure Fitness(金鐘店)	金鐘	4.0
149	Crystal Dance	元朗	1.0
150	Yayakids	新蒲崗	
151	Twinkle Dance Company(黃竹坑)	黃竹坑	
152	Twinkle Dance Company(中環)	中環	
153	Dance for Joy	東涌	
154	ArtBro Education	新蒲崗	
155	香港青年協會舞蹈館	土瓜灣	
156	Pulse Dance Studio	九龍灣	
157	Red Shoe Dance Company(中環店)	中環	
158	飛舞天下	柴灣	
159	Phillip Wain (尖沙咀店)	尖沙咀	
160	鍾意舞坊	荔枝角	
161	健舞軒	九龍灣	
162	Neverland Dance House	觀塘	2.0
163	Funky Dance Centre(觀塘店)	觀塘	1.0
164	Dancing Paradise	尖沙咀	
165	Crystal Dance	元朗	
166	Phillip Wain (太古店)	太古	
167	Danz Avenue	觀塘	
168	Agape dance studio	荔枝角	
